Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
1,B000YHLS8W,A3G6BO26IVY6LE,BV,0,1,3,1323302400,Seven Whole Grains,"If you like the taste of seven whole grains on a mission, then this is the cookie for you.  If not, then don't bother."
2,B000YHLS8W,A20J70GXDB02N2,"TrailWinds ""tbb""",0,1,5,1319068800,Excellent treat except this is not USDA Organic,"The only way to improve upon these cookies is by making and/or processing them with USDA Organic ingredients...and maybe adding nuts. Other than that, the flavor is not overly rich or sweet and the texture is just right."
3,B000YHLS8W,A29480HO2LME6S,Mom 24/7/365,0,1,3,1317945600,The cookie crumbles,"I really enjoy Kashi products.  And oatmeal dark chocolate is one of my favorite treats.  I do have to say these cookies crumble very easily.  As far as taste they are pretty good,  but I have had better.  For now I will stick to their cereals and granola bars."
4,B000YHLS8W,A353IGB70SOJDA,Lori,0,1,5,1316649600,TLC Cookies,These cookies surprising taste pretty well for healthy cookies. Can't wait to try the trail mix batch of cookies. Just remember these cookies are healthy for you!
5,B000YHLS8W,A3LQL69LD7YH4I,Amy,0,1,3,1315785600,Good,"It's not as sweet as most chocolate chips. Due to the oatmeal, it's more chewy and the cookie falls apart easily. For people who craves for chocolate flavored snacks, this probably won't be enough."
6,B000YHLS8W,AML16N9LK44O5,Troy Victor,0,1,2,1315699200,Arrived crumbled and not so tasty,"Many of the cookies in the packs were broken and crumbled. The taste was a mediocre flavor at best, they tasted bland. I gave them a try and didn't like it."
7,B000YHLS8W,A9DMDS64YSFS7,98199,0,1,3,1292544000,Way too sweet..,"These were on sale recently and we decided to try them out.  They are chewy but not so soft that they break off when you grab them out of container.  There were some funky artificial scent to them which turned off one family member and she usually loves oatmeal cookies.  Taste wise they were decent but overall, everyone agreed that they were little too sweet.  Kashi is known for wholesome, healthy, natural products and we usually buy their breakfast cereals but we weren't impressed with these cookies. Make sure to check the ingredients and nutritional info before buying, these are not the usual low carb, high protein product that Kashi is known for."
8,B000YHLS8W,A1U6NV8I65IYY8,Kiwi,0,2,4,1345507200,They forgot to send my gift card,"I sent these as a gift. They forgot to send my gift card, so the person didn't know who they were from. Even though I paid whatever the price was at the time (expensive), the person receiving my gift thought they were a promotion (gift)."
9,B000YHLS8W,AYW7A0KP2WG2B,Kristen Stemple,0,2,2,1327536000,Grab and go items for breakfast,"I bought these to have grab and go items for breakfast. It dies taste good and like cookie dough, the downfall that it isn't very healthy. They did come fast and packaged well as it was left on my porch and snowed! I would recommend these are they are good on the go and don't leave too much of a mess with crumbs!"
10,B000YHLS8W,A14I3DZIJWJPWZ,DerekB,2,6,1,1293408000,Yuck.,"I thought I'd give these a try because they were cheap on lightning deal.<br /><br />Like most all Kashi products, they're lacking in the taste department.  I took one bite & tried to chew it, but it was dry and tasted bad.  I threw all three boxes in the trash the next morning.<br /><br />If you're trying to eat healthy and want a cookie, just splurge.. eat some Oreo's or whatever your favorite is and don't write down the calories in your book. Skip these; your taste buds will thank you!"
11,B006AXCAG8,A3BKJOJZ61OD2M,Dafflewaffles,4,4,5,1332028800,Excellent seasoning!,"My friend introduced us to this seasoning after she had my family for dinner. My husband and I couldn't get enough of the chicken she made.  When I asked her what amazing marinade was on it, she said it was olive oil and this seasoning- that was it!. Her brother, who's a chef, recommended it.  I went to 4 different stores looking for it. It never dissapoints. If I need a quick dinner, I take an 8 piece cut-up chicken, pour a little olive oil over it, rub it in, then sprinkle the rotisserie seasoning over it (maybe 1-3 tbsp), rub that in, too, and that's it. No salt and pepper is needed.  Sometimes I cut up onions and put them in the bottom of the pan. I bake everything at 375, covered, for an hour, or until I see it's done, then uncover it to let it brown...best chicken, ever! And the seasoning is kosher, so it's perfect for Shabbos chicken.  This week I put fingerling potatoes and sliced onions in the bottom of the pan, tossed them with a little garlic powder, olive oil, salt and pepper, then put chicken on top and seasoned like I mentioned above, letting some of the rotisserie seasoning fall on the potatoes....it was wonderful!"
12,B006AXCAG8,A2JMBGX9BBQ9AP,Toby Schaeffer,0,0,5,1344988800,Great!,"Love this spice mixture on chicken! I use Kikoman soy sauce (regular, no sugar) and this spice - librally applied - and bake my chicken carefully so that I don't over-cook it, and it comes out delicious!"
